;Participant_ID;old_index_02;real_order_clean;real_order_raw;age;km_drive_recoded_num;experiments_recoded;treatment_group;Scenario;Configuration;Config_recoded;neighborhood_recoded;gender;own_car;driving_license;experience_vr_recoded;country_raised_CH;m_walk;a_sss_active_delta;a_sss_alert_delta;a_sss_angry_delta;a_sss_annoyed_delta;a_sss_depressed_delta;a_sss_disatisfied_delta;a_sss_grouchy_delta;a_sss_impatient_delta;a_sss_irritated_delta;a_sss_sad_delta;a_sss_avg_delta;a_sss_std_delta;a_will_Cross_night;a_will_cross_with_kid;a_attractiveness;a_safe_to_cars;a_safe_to_pedestrians;b_sss_active_delta;b_sss_alert_delta;b_sss_angry_delta;b_sss_annoyed_delta;b_sss_depressed_delta;b_sss_disatisfied_delta;b_sss_grouchy_delta;b_sss_impatient_delta;b_sss_irritated_delta;b_sss_sad_delta;b_sss_avg_delta;b_sss_std_delta;b_will_Cross_night;b_will_cross_with_kid;b_attractiveness;b_safe_to_cars;b_safe_to_pedestrians;c_sss_active_delta;c_sss_alert_delta;c_sss_angry_delta;c_sss_annoyed_delta;c_sss_depressed_delta;c_sss_disatisfied_delta;c_sss_grouchy_delta;c_sss_impatient_delta;c_sss_irritated_delta;c_sss_sad_delta;c_sss_avg_delta;c_sss_std_delta;c_will_Cross_night;c_will_cross_with_kid;c_attractiveness;c_safe_to_cars;c_safe_to_pedestrians;fav_recoded
0;1;0;0;0;36.0;50;2;information;A;RH;aRH;dense;Male;yes;yes;;1;yes;0.0;-2.0;0.0;1.0;0.0;-1.0;-1.0;0.0;1.0;0.0;-0.2;0.9189365834726815;10.0;10.0;4.0;5.0;6.0;0.0;1.0;1.0;2.0;-1.0;0.0;-1.0;0.0;1.0;0.0;0.3;0.9486832980505138;7.0;6.0;2.0;6.0;4.0;1.0;1.0;1.0;2.0;1.0;-1.0;-1.0;0.0;0.0;0.0;0.2;1.0327955589886444;7.0;4.0;2.0;5.0;4.0;c
6;2;0;0;0;22.0;0;2;efficiency;A;RH;aRH;dense;Male;no;no;0.0;0;yes;-2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6749485577105528;6.0;5.0;4.0;2.0;6.0;-2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6749485577105528;3.0;3.0;1.0;5.0;3.0;-1.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2;1.0327955589886444;4.0;4.0;2.0;3.0;3.0;a
13;3;0;0;0;22.0;0;2;efficiency;A;RH;aRH;dense;Female;no;yes;1.0;0;yes;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.31622776601683794;10.0;10.0;5.0;7.0;7.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.42163702135578396;8.0;7.0;3.0;6.0;6.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.7378647873726218;7.0;7.0;3.0;5.0;5.0;a
20;4;0;0;0;23.0;0;2;efficiency;A;RH;aRH;dense;Female;no;yes;0.0;0;yes;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-5.0;-1.0;-1.0;-1.2;1.398411797560202;6.0;6.0;3.0;7.0;7.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-0.4;1.3498971154211057;6.0;6.0;3.0;5.0;7.0;0.0;1.0;-1.0;6.0;-1.0;0.0;-1.0;2.0;-1.0;-1.0;0.4;2.2211108331943574;1.0;1.0;3.0;2.0;6.0;a
26;5;0;0;0;23.0;5;5;information;A;RH;aRH;dense;Male;no;yes;0.0;0;yes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;4.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;5.0;7.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;2.0;3.0;6.0;b
32;6;1;0;0;30.0;0;5;information;A;RH;aRH;dense;Female;no;yes;1.0;0;yes;0.0;-2.0;-3.0;-4.0;0.0;-1.0;0.0;-1.0;0.0;0.0;-1.1;1.449137674618944;5.0;7.0;2.0;5.0;7.0;-2.0;-1.0;-3.0;-4.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;-1.0;1.632993161855452;10.0;10.0;5.0;6.0;5.0;0.0;0.0;-2.0;-4.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.7;1.3374935098492586;1.0;1.0;1.0;2.0;7.0;b
38;7;0;0;0;24.0;50;5;efficiency;A;RH;aRH;dense;Male;yes;yes;1.0;0;yes;-1.0;0.0;-1.0;3.0;-1.0;0.0;0.0;1.0;2.0;-1.0;0.4;1.3498971154211057;7.0;5.0;3.0;6.0;7.0;1.0;-2.0;-2.0;1.0;-1.0;1.0;0.0;0.0;0.0;-1.0;-0.5;1.0801234497346435;8.0;7.0;4.0;5.0;6.0;-1.0;1.0;-1.0;0.0;-1.0;0.0;0.0;-3.0;3.0;-1.0;-0.1;1.5951314818673865;3.0;4.0;1.0;3.0;7.0;b
44;8;0;0;0;21.0;5;2;information;B;RH;aRH;sparse;Male;no;yes;1.0;1;yes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;9.0;5.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0;4.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;8.0;3.0;4.0;5.0;a
51;9;0;0;0;22.0;0;5;information;B;RH;aRH;dense;Female;no;no;1.0;0;yes;3.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.4;0.966091783079296;10.0;10.0;5.0;7.0;7.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.2;0.42163702135578396;10.0;7.0;4.0;5.0;7.0;3.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;-0.4;0.966091783079296;2.0;2.0;1.0;1.0;4.0;a
57;10;0;0;0;25.0;0;5;information;B;RH;aRH;dense;Female;no;yes;1.0;1;yes;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;-0.2;0.42163702135578396;10.0;10.0;4.0;7.0;7.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-0.2;0.42163702135578396;9.0;9.0;3.0;5.0;7.0;-4.0;2.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.4337208778404378;6.0;6.0;3.0;7.0;7.0;b
64;11;0;0;0;32.0;0;5;efficiency;B;RH;aRH;dense;Female;no;no;0.0;1;yes;-1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3;0.4830458915396479;9.0;9.0;5.0;6.0;6.0;-1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;1.0;1.699673171197595;4.0;3.0;2.0;2.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.9486832980505139;5.0;6.0;4.0;5.0;5.0;a
70;12;0;0;0;29.0;50;2;efficiency;B;RH;aRH;sparse;Male;yes;yes;0.0;0;yes;-1.0;7.0;0.0;0.0;7.0;2.0;5.0;8.0;-1.0;0.0;2.9;3.478505426185217;7.0;6.0;2.0;4.0;5.0;-3.0;7.0;-1.0;0.0;5.0;1.0;1.0;1.0;-4.0;1.0;1.4;3.062315754094894;8.0;8.0;4.0;5.0;7.0;-2.0;8.0;4.0;6.0;8.0;7.0;0.0;8.0;3.0;0.0;4.6;3.238655413730965;2.0;1.0;1.0;1.0;3.0;b
76;13;0;0;0;26.0;0;0;information;B;RH;aRH;sparse;Female;no;yes;1.0;0;yes;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;-3.0;-2.0;0.0;-0.7;1.0593499054713802;10.0;8.0;4.0;4.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;-2.0;0.0;-0.3;0.8232726023485646;10.0;8.0;4.0;4.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;-3.0;-2.0;0.0;-0.7;1.0593499054713802;8.0;10.0;4.0;4.0;7.0;a
83;14;0;0;0;22.0;5;5;information;B;RH;aRH;dense;Female;no;yes;0.0;1;yes;-4.0;4.0;0.0;1.0;-2.0;-2.0;0.0;0.0;0.0;-4.0;0.1;2.514402955419481;9.0;9.0;5.0;5.0;7.0;0.0;7.0;0.0;0.0;-2.0;-2.0;0.0;0.0;0.0;-2.0;0.1;2.601281735350223;9.0;8.0;3.0;5.0;7.0;-1.0;6.0;0.0;0.0;-2.0;-2.0;0.0;0.0;0.0;-4.0;-0.1;2.6012817353502227;10.0;5.0;3.0;3.0;7.0;a
89;15;0;0;0;34.0;0;2;information;B;RH;aRH;sparse;Female;no;no;1.0;1;yes;3.0;4.0;0.0;1.0;0.0;-2.0;-1.0;-1.0;0.0;-1.0;-0.3;1.888562063228706;9.0;10.0;5.0;6.0;5.0;3.0;3.0;0.0;0.0;0.0;-2.0;-1.0;0.0;1.0;-1.0;-0.3;1.636391694484477;8.0;9.0;4.0;6.0;6.0;3.0;5.0;0.0;0.0;0.0;-2.0;-1.0;-1.0;0.0;-1.0;-0.3;2.110818693198342;3.0;4.0;2.0;3.0;4.0;a
95;16;0;0;0;24.0;50;5;efficiency;B;RH;aRH;dense;Female;yes;yes;0.0;0;yes;1.0;-1.0;-3.0;0.0;-1.0;-1.0;-3.0;0.0;-3.0;-5.0;-1.8;1.6193277068654826;10.0;9.0;4.0;6.0;5.0;1.0;0.0;-3.0;0.0;-1.0;-1.0;-3.0;-1.0;-3.0;-5.0;-1.8;1.6193277068654826;9.0;3.0;5.0;3.0;5.0;0.0;-2.0;-3.0;0.0;-1.0;-1.0;-3.0;2.0;-3.0;-5.0;-1.6;2.011080417199781;8.0;3.0;5.0;2.0;4.0;b
101;17;0;0;0;23.0;0;5;efficiency;B;RH;aRH;dense;Female;no;yes;1.0;0;yes;-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;-0.2;1.1352924243950935;10.0;10.0;1.0;7.0;7.0;0.0;-2.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;-2.0;-0.1;1.1972189997378648;8.0;5.0;2.0;4.0;7.0;-1.0;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;-0.5;1.4337208778404378;10.0;8.0;1.0;6.0;7.0;b
108;18;0;0;0;25.0;5;5;efficiency;B;RH;aRH;dense;Male;no;yes;0.0;1;yes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;5.0;6.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;2.0;4.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;1.0;2.0;7.0;a
115;19;0;0;0;22.0;0;5;information;C;RH;aRH;sparse;Male;no;no;0.0;0;yes;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-0.1;0.5676462121975467;7.0;8.0;3.0;5.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1;0.5676462121975467;9.0;9.0;4.0;6.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.2;1.0327955589886444;4.0;3.0;2.0;3.0;4.0;b
121;20;0;0;0;22.0;0;2;information;C;RH;aRH;sparse;Female;no;no;0.0;0;yes;0.0;0.0;0.0;0.0;0.0;-3.0;0.0;0.0;0.0;0.0;-0.3;0.9486832980505139;8.0;9.0;3.0;6.0;6.0;0.0;-1.0;1.0;4.0;4.0;2.0;2.0;0.0;2.0;4.0;1.8;1.8135294011647258;1.0;1.0;0.0;2.0;6.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.4;0.6992058987801011;3.0;3.0;1.0;3.0;6.0;a
127;21;0;0;0;23.0;5;2;information;C;RH;aRH;dense;Female;no;yes;0.0;0;yes;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.31622776601683794;10.0;10.0;5.0;7.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2;0.6324555320336759;9.0;9.0;4.0;5.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.31622776601683794;4.0;2.0;3.0;1.0;5.0;a
133;22;0;0;0;24.0;50;5;efficiency;C;RH;aRH;dense;Female;yes;yes;0.0;1;yes;-4.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.3;1.4181364924121764;10.0;10.0;5.0;7.0;7.0;-2.0;2.0;1.0;3.0;0.0;3.0;2.0;3.0;2.0;0.0;1.8;1.1352924243950933;5.0;2.0;1.0;3.0;7.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.4;0.8432740427115679;5.0;2.0;0.0;4.0;7.0;a
139;23;0;0;0;24.0;0;0;efficiency;C;RH;aRH;dense;Male;no;yes;0.0;0;yes;-2.0;-3.0;0.0;1.0;0.0;1.0;-1.0;1.0;-1.0;0.0;0.0;1.4142135623730951;10.0;10.0;5.0;7.0;7.0;0.0;-2.0;0.0;1.0;0.0;0.0;-1.0;2.0;-1.0;0.0;-0.1;1.1005049346146119;10.0;10.0;5.0;7.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;-0.3;0.4830458915396479;10.0;6.0;5.0;3.0;6.0;b
145;24;0;0;0;25.0;0;5;efficiency;C;RH;aRH;sparse;Female;no;no;0.0;0;yes;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.6324555320336759;9.0;9.0;4.0;4.0;6.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2;0.6324555320336759;10.0;10.0;5.0;7.0;6.0;-4.0;-1.0;0.0;0.0;0.0;6.0;2.0;7.0;2.0;0.0;2.0;2.788866755113585;7.0;4.0;1.0;1.0;5.0;b
151;25;0;0;0;24.0;0;2;information;C;RH;aRH;dense;Female;no;yes;0.0;0;yes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;9.0;4.0;6.0;6.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.31622776601683794;9.0;9.0;4.0;4.0;6.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.7;2.2135943621178655;2.0;2.0;1.0;2.0;5.0;a
157;26;0;0;0;23.0;0;2;information;C;RH;aRH;dense;Female;no;no;0.0;0;no;6.0;6.0;1.0;0.0;-2.0;-2.0;-5.0;0.0;-3.0;-3.0;-1.4;3.4058772731852804;9.0;9.0;4.0;7.0;7.0;5.0;6.0;0.0;0.0;-2.0;-2.0;-4.0;0.0;-1.0;-4.0;-1.2;3.1198290551460244;8.0;3.0;3.0;4.0;6.0;6.0;6.0;0.0;0.0;-1.0;-4.0;-6.0;1.0;-3.0;-3.0;-1.6;3.6270588023294517;3.0;6.0;3.0;4.0;7.0;a
163;27;0;0;0;29.0;0;5;efficiency;C;RH;aRH;dense;Female;no;yes;1.0;0;yes;0.0;0.0;0.0;1.0;-2.0;1.0;-1.0;3.0;-3.0;-3.0;-0.4;1.8973665961010275;9.0;8.0;4.0;6.0;5.0;0.0;-1.0;0.0;-4.0;-2.0;-2.0;-1.0;-2.0;-3.0;-3.0;-1.8;1.3165611772087666;9.0;7.0;4.0;5.0;7.0;1.0;-1.0;0.0;-4.0;-2.0;-3.0;-1.0;-2.0;-4.0;-3.0;-2.1;1.3703203194062976;10.0;7.0;4.0;3.0;6.0;c
169;28;0;0;0;21.0;5;2;efficiency;C;RH;aRH;sparse;Female;no;yes;1.0;0;yes;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.3;1.3374935098492586;10.0;10.0;5.0;7.0;7.0;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.2649110640673518;10.0;10.0;5.0;7.0;7.0;-3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.97182531580755;5.0;5.0;3.0;3.0;4.0;a
175;29;0;0;0;25.0;50;2;efficiency;C;RH;aRH;sparse;Female;yes;yes;0.0;1;yes;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-4.0;-4.0;0.0;-0.9;1.66332999331662;9.0;8.0;5.0;6.0;6.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;-4.0;3.0;0.0;0.9;2.726414006223804;9.0;5.0;2.0;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;-2.0;-2.0;0.0;-0.3;1.1595018087284057;3.0;2.0;2.0;2.0;4.0;a
178;30;0;0;0;20.0;5;5;information;A;RH;aRH;sparse;Female;no;no;0.0;1;yes;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-3.0;0.0;-1.0;-0.6;0.9660917830792958;9.0;6.0;4.0;5.0;6.0;-1.0;-1.0;0.0;0.0;0.0;0.0;-1.0;-2.0;1.0;-1.0;-0.3;0.9486832980505138;6.0;6.0;2.0;4.0;6.0;0.0;0.0;0.0;-1.0;0.0;-1.0;-1.0;0.0;0.0;-2.0;-0.5;0.7071067811865476;7.0;4.0;3.0;3.0;6.0;c
185;31;0;0;0;25.0;50;5;information;A;RH;aRH;dense;Male;yes;yes;1.0;1;yes;-1.0;0.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;1.0;-1.0;-0.3;0.8232726023485646;8.0;9.0;5.0;4.0;4.0;-1.0;1.0;0.0;-1.0;-1.0;0.0;0.0;-1.0;1.0;-1.0;-0.1;0.8755950357709131;8.0;7.0;3.0;5.0;4.0;-1.0;0.0;0.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;-1.0;-0.3;0.674948557710553;7.0;6.0;1.0;5.0;4.0;a
191;32;0;0;0;31.0;5;0;information;A;RH;aRH;dense;Male;no;yes;1.0;1;yes;-1.0;5.0;1.0;4.0;0.0;6.0;0.0;5.0;0.0;0.0;2.2;2.4855135843076335;9.0;7.0;2.0;5.0;2.0;2.0;7.0;4.0;4.0;1.0;5.0;1.0;1.0;8.0;1.0;3.0;3.1269438398822866;4.0;2.0;1.0;2.0;6.0;2.0;7.0;5.0;6.0;1.0;3.0;1.0;0.0;7.0;1.0;2.9;3.178049716414141;4.0;3.0;1.0;2.0;7.0;a
197;33;0;0;0;28.0;0;2;information;C;RH;aRH;sparse;Female;no;no;1.0;0;yes;0.0;1.0;0.0;0.0;0.0;-1.0;0.0;3.0;2.0;0.0;0.5;1.1785113019775793;10.0;8.0;3.0;7.0;7.0;1.0;1.0;0.0;0.0;0.0;-1.0;0.0;-1.0;1.0;0.0;-0.1;0.7378647873726218;7.0;2.0;3.0;2.0;5.0;-1.0;2.0;0.0;0.0;0.0;-1.0;0.0;3.0;1.0;0.0;0.6;1.1737877907772674;7.0;3.0;1.0;4.0;7.0;a
203;34;0;0;0;24.0;5;5;efficiency;A;RH;aRH;sparse;Male;no;yes;0.0;1;yes;0.0;-2.0;0.0;-2.0;0.0;0.0;0.0;-5.0;0.0;0.0;-0.9;1.66332999331662;10.0;10.0;5.0;7.0;5.0;-5.0;-1.0;0.0;-1.0;0.0;-1.0;0.0;-5.0;2.0;0.0;-0.1;2.5144029554194813;9.0;8.0;4.0;5.0;7.0;-3.0;4.0;2.0;2.0;0.0;4.0;0.0;-3.0;3.0;1.0;1.6;2.1705094128132942;2.0;1.0;1.0;1.0;6.0;a
209;35;0;0;0;30.0;0;5;efficiency;A;RH;aRH;sparse;Male;no;yes;0.0;1;yes;0.0;4.0;2.0;5.0;0.0;-3.0;0.0;4.0;2.0;0.0;1.4;2.4585451886114367;4.0;4.0;1.0;2.0;4.0;1.0;2.0;0.0;0.0;0.0;-2.0;-1.0;1.0;5.0;0.0;0.4;1.955050439815357;8.0;1.0;1.0;1.0;4.0;0.0;1.0;2.0;2.0;0.0;-3.0;-1.0;0.0;2.0;0.0;0.3;1.567021236472421;2.0;3.0;2.0;4.0;3.0;c
216;36;0;10;0;23.0;5;5;efficiency;A;RH;aRH;sparse;Female;yes;yes;0.0;1;yes;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.42163702135578396;4.0;1.0;1.0;2.0;5.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.3;0.4830458915396479;10.0;10.0;5.0;7.0;7.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.1;0.7378647873726218;2.0;1.0;2.0;2.0;5.0;b
223;37;0;0;0;26.0;0;5;efficiency;C;RH;aRH;sparse;Male;no;no;0.0;0;yes;-1.0;-1.0;0.0;-2.0;-3.0;-2.0;0.0;-2.0;-1.0;1.0;-0.9;1.3703203194062978;9.0;9.0;5.0;7.0;7.0;-1.0;-1.0;0.0;-1.0;-3.0;-2.0;0.0;-2.0;-1.0;0.0;-0.9;1.1972189997378648;9.0;9.0;4.0;7.0;7.0;-1.0;-1.0;1.0;-1.0;-3.0;-1.0;0.0;-1.0;0.0;0.0;-0.5;1.1785113019775793;8.0;3.0;3.0;2.0;6.0;a
229;38;0;0;0;21.0;5;2;efficiency;B;RH;aRH;sparse;Female;yes;yes;0.0;0;yes;0.0;-1.0;0.0;0.0;0.0;-1.0;-1.0;0.0;-1.0;-1.0;-0.5;0.5270462766947299;8.0;10.0;4.0;7.0;7.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;-1.0;0.0;-0.3;0.4830458915396479;9.0;8.0;2.0;5.0;6.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.5;0.5270462766947299;2.0;2.0;1.0;2.0;6.0;a
235;39;0;0;0;25.0;5;5;information;A;RH;aRH;sparse;Male;no;yes;1.0;0;yes;2.0;-4.0;-1.0;-1.0;1.0;-3.0;-1.0;-1.0;-1.0;1.0;-1.2;1.5491933384829668;4.0;3.0;4.0;3.0;4.0;2.0;-3.0;-1.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;1.0;-0.7;1.3374935098492586;2.0;4.0;4.0;3.0;3.0;3.0;-2.0;-2.0;-1.0;1.0;-4.0;-1.0;1.0;-2.0;1.0;-1.2;1.7511900715418265;1.0;5.0;3.0;4.0;2.0;b
241;40;0;0;0;19.0;0;5;efficiency;A;RH;aRH;sparse;Female;no;yes;0.0;1;yes;1.0;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-0.4;1.349897115421106;5.0;2.0;2.0;5.0;7.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.5;1.1785113019775793;6.0;3.0;2.0;3.0;5.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.7;1.4181364924121764;1.0;1.0;0.0;2.0;3.0;b
247;41;0;0;0;23.0;0;5;information;C;RH;aRH;sparse;Female;no;no;1.0;0;yes;3.0;1.0;0.0;0.0;0.0;0.0;0.0;-4.0;0.0;0.0;-0.6;1.577621275493231;10.0;10.0;5.0;7.0;7.0;3.0;0.0;0.0;4.0;0.0;3.0;0.0;-4.0;0.0;0.0;0.0;2.3570226039551585;4.0;1.0;1.0;2.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;-0.5;1.2692955176439846;6.0;2.0;2.0;3.0;5.0;a
254;42;0;0;0;23.0;50;2;efficiency;B;RH;aRH;sparse;Female;yes;yes;0.0;0;yes;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-0.1;1.1005049346146119;9.0;7.0;2.0;5.0;7.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.4;1.2649110640673518;10.0;8.0;3.0;5.0;6.0;2.0;3.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.5;1.2692955176439846;1.0;1.0;0.0;1.0;6.0;b
260;43;0;0;0;22.0;0;5;information;C;RH;aRH;dense;Male;no;no;0.0;1;yes;-3.0;-2.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;-1.0;-0.2;1.3984117975602022;9.0;9.0;3.0;5.0;6.0;-3.0;-2.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;-1.0;-0.2;1.3984117975602022;9.0;7.0;2.0;4.0;5.0;-3.0;-7.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;-1.0;-0.7;2.5407785333546005;9.0;8.0;1.0;3.0;6.0;a
